"TambonID","TambonThai","TambonEng","TambonThaiShort","TambonEngShort","DistrictID","DistrictThai","DistrictEng","DistrictThaiShort","DistrictEngShort","ProvinceID","ProvinceThai","ProvinceEng","Region","RegionOfFour","RegionTravel","Metropolis","PostalCodeRemark","PostCodeMajor","PostCodeMinor"
100111,"แขวงบางขุนพรหม","Khwaeng Bang Khun Phrom","บางขุนพรหม","Bang Khun Phrom","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100112,"แขวงวัดสามพระยา","Khwaeng Wat Sam Phraya","วัดสามพระยา","Wat Sam Phraya","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100201,"แขวงดุสิต","Khwaeng Dusit","ดุสิต","Dusit","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10300","10300"
100202,"แขวงวชิรพยาบาล","Khwaeng Wachira Phayaban","วชิรพยาบาล","Wachira Phayaban","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10300","10300"
100203,"แขวงสวนจิตรลดา","Khwaeng Suan Chitlada","สวนจิตรลดา","Suan Chitlada","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10300","10300"
100203,"แขวงสวนจิตรลดา พระราชวังดุสิต","Khwaeng Suan Chitlada, Dusit Palace","สวนจิตรลดา","Suan Chitlada","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10303","10303"
100204,"แขวงสี่แยกมหานาค","Khwaeng Si Yaek Mahanak","สี่แยกมหานาค","Si Yaek Mahanak","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10300","10300"
100206,"แขวงถนนนครไชยศรี","Khwaeng Thanon Nakhon Chai Si","ถนนนครไชยศรี","Thanon Nakhon Chai Si","1002","เขตดุสิต","Khet Dusit","ดุสิต","Dusit",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10300","10300"
100301,"แขวงกระทุ่มราย","Khwaeng Krathum Rai","กระทุ่มราย","Krathum Rai","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100302,"แขวงหนองจอก","Khwaeng Nong Chok","หนองจอก","Nong Chok","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100303,"แขวงคลองสิบ","Khwaeng Khlong Sip","คลองสิบ","Khlong Sip","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100304,"แขวงคลองสิบสอง","Khwaeng Khlong Sip Song","คลองสิบสอง","Khlong Sip Song","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100305,"แขวงโคกแฝด","Khwaeng Khok Faet","โคกแฝด","Khok Faet","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100306,"แขวงคู้ฝั่งเหนือ","Khwaeng Khu Fang Nuea","คู้ฝั่งเหนือ","Khu Fang Nuea","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100307,"แขวงลำผักชี","Khwaeng Lam Phak Chi","ลำผักชี","Lam Phak Chi","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100308,"แขวงลำต้อยติ่ง","Khwaeng Lam Toiting","ลำต้อยติ่ง","Lam Toiting","1003","เขตหนองจอก","Khet Nong Chok","หนองจอก","Nong Chok",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10530","10530"
100401,"แขวงมหาพฤฒาราม","Khwaeng Maha Phruettharam","มหาพฤฒาราม","Maha Phruettharam","1004","เขตบางรัก","Khet Bang Rak","บางรัก","Bang Rak",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100402,"แขวงสีลม","Khwaeng Si Lom","สีลม","Si Lom","1004","เขตบางรัก","Khet Bang Rak","บางรัก","Bang Rak",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100403,"แขวงสุริยวงศ์","Khwaeng Suriyawong","สุริยวงศ์","Suriyawong","1004","เขตบางรัก","Khet Bang Rak","บางรัก","Bang Rak",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100404,"แขวงบางรัก","Khwaeng Bang Rak","บางรัก","Bang Rak","1004","เขตบางรัก","Khet Bang Rak","บางรัก","Bang Rak",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100405,"แขวงสี่พระยา","Khwaeng Si Phraya","สี่พระยา","Si Phraya","1004","เขตบางรัก","Khet Bang Rak","บางรัก","Bang Rak",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100502,"แขวงอนุสาวรีย์","Khwaeng Anusawari","อนุสาวรีย์","Anusawari","1005","เขตบางเขน","Khet Bang Khen","บางเขน","Bang Khen",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10220","10220"
100508,"แขวงท่าแร้ง","Khwaeng Tha Raeng","ท่าแร้ง","Tha Raeng","1005","เขตบางเขน","Khet Bang Khen","บางเขน","Bang Khen",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10220","10220"
100508,"แขวงท่าแร้ง หมู่ 8","Khwaeng Tha Raeng, Moo 8","ท่าแร้ง","Tha Raeng","1005","เขตบางเขน","Khet Bang Khen","บางเขน","Bang Khen",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10230","10230"
100508,"แขวงท่าแร้ง หมู่ 9","Khwaeng Tha Raeng, Moo 9","ท่าแร้ง","Tha Raeng","1005","เขตบางเขน","Khet Bang Khen","บางเขน","Bang Khen",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10230","10230"
100508,"แขวงท่าแร้ง หมู่ 10","Khwaeng Tha Raeng, Moo 10","ท่าแร้ง","Tha Raeng","1005","เขตบางเขน","Khet Bang Khen","บางเขน","Bang Khen",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10230","10230"
100601,"แขวงคลองจั่น","Khwaeng Khlong Chan","คลองจั่น","Khlong Chan","1006","เขตบางกะปิ","Khet Bang Kapi","บางกะปิ","Bang Kapi",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10240","10240"
100608,"แขวงหัวหมาก","Khwaeng Hua Mak","หัวหมาก","Hua Mak","1006","เขตบางกะปิ","Khet Bang Kapi","บางกะปิ","Bang Kapi",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10240","10240"
100608,"แขวงหัวหมาก หมู่บ้านเสรี","Khwaeng Hua Mak, Seri Village","หัวหมาก","Hua Mak","1006","เขตบางกะปิ","Khet Bang Kapi","บางกะปิ","Bang Kapi",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10250","10250"
100701,"แขวงรองเมือง","Khwaeng Rong Mueang","รองเมือง","Rong Mueang","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10330","10330"
100702,"แขวงวังใหม่","Khwaeng Wang Mai","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10330","10330"
100702,"แขวงวังใหม่ ศาลแขวงปทุมวัน","Khwaeng Wang Mai, Pathum Wan Court","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10500","10500"
100702,"แขวงวังใหม่ อาคารเพลินจิตเซ็นเตอร์","Khwaeng Wang Mai, Plernchit Center Bldg","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10110","10110"
100702,"แขวงวังใหม่ อาคารลุมพินีทาวเวอร์","Khwaeng Wang Mai, Lumpini Tower Bldg","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10120","10120"
100702,"แขวงวังใหม่ อาคารวิทยุคอมเพล็กซ์","Khwaeng Wang Mai, Wittayu Complex Bldg","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
100702,"แขวงวังใหม่ บ้านปทุมวัน","Khwaeng Wang Mai, Ban Pathum Wan","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
100702,"แขวงวังใหม่ ปทุมวันรีสอร์ท","Khwaeng Wang Mai, Pathum Wan Resourt","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
100702,"แขวงวังใหม่ ธนาคารไทยพาณิชย์สาขาชิดลม","Khwaeng Wang Mai, Siam Commercial Bank Chidlom","วังใหม่","Wang Mai","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
100703,"แขวงปทุมวัน","Khwaeng Pathum Wan","ปทุมวัน","Pathum Wan","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10330","10330"
100704,"แขวงลุมพินี","Khwaeng Lumphini","ลุมพินี","Lumphini","1007","เขตปทุมวัน","Khet Pathum Wan","ปทุมวัน","Pathum Wan",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10330","10330"
100801,"แขวงป้อมปราบ","Khwaeng Pom Prap","ป้อมปราบ","Pom Prap","1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
100802,"แขวงวัดเทพศิรินทร์","Khwaeng Wat Thep Sirin","วัดเทพศิรินทร์","Wat Thep Sirin","1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
100803,"แขวงคลองมหานาค","Khwaeng Khlong Maha Nak","คลองมหานาค","Khlong Maha Nak","1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
100804,"แขวงบ้านบาตร","Khwaeng Ban Bat","บ้านบาตร","Ban Bat","1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
100805,"แขวงวัดโสมนัส","Khwaeng Wat Sommanat","วัดโสมนัส","Wat Sommanat","1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
100905,"แขวงบางจาก","Khwaeng Bang Chak","บางจาก","Bang Chak","1009","เขตพระโขนง","Khet Phra Khanong","พระโขนง","Phra Khanong",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10260","10260"
100910,"แขวงพระโขนงใต้","Khwaeng Phra Khanong Tai","พระโขนงใต้","Phra Khanong Tai","1009","เขตพระโขนง","Khet Phra Khanong","พระโขนง","Phra Khanong",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10260","10260"
101001,"แขวงมีนบุรี","Khwaeng Min Buri","มีนบุรี","Min Buri","1010","เขตมีนบุรี","Khet Min Buri","มีนบุรี","Min Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10510","10510"
101002,"แขวงแสนแสบ","Khwaeng Saen Saep","แสนแสบ","Saen Saep","1010","เขตมีนบุรี","Khet Min Buri","มีนบุรี","Min Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10510","10510"
101101,"แขวงลาดกระบัง","Khwaeng Lat Krabang","ลาดกระบัง","Lat Krabang","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101102,"แขวงคลองสองต้นนุ่น","Khwaeng Khlong Song Ton Nun","คลองสองต้นนุ่น","Khlong Song Ton Nun","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101103,"แขวงคลองสามประเวศ","Khwaeng Khlong Sam Prawet","คลองสามประเวศ","Khlong Sam Prawet","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101104,"แขวงลำปลาทิว","Khwaeng Lam Pla Thio","ลำปลาทิว","Lam Pla Thio","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101105,"แขวงทับยาว","Khwaeng Thap Yao","ทับยาว","Thap Yao","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101106,"แขวงขุมทอง","Khwaeng Khum Thong","ขุมทอง","Khum Thong","1011","เขตลาดกระบัง","Khet Lat Krabang","ลาดกระบัง","Lat Krabang",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10520","10520"
101203,"แขวงช่องนนทรี","Khwaeng Chong Nonsi","ช่องนนทรี","Chong Nonsi","1012","เขตยานนาวา","Khet Yan Nawa","ยานนาวา","Yan Nawa",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10120","10120"
101204,"แขวงบางโพงพาง","Khwaeng Bang Phongphang","บางโพงพาง","Bang Phongphang","1012","เขตยานนาวา","Khet Yan Nawa","ยานนาวา","Yan Nawa",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10120","10120"
101301,"แขวงจักรวรรดิ","Khwaeng Chakkrawat","จักรวรรดิ","Chakkrawat","1013","เขตสัมพันธวงศ์","Khet Samphanthawong","สัมพันธวงศ์","Samphanthawong",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
101302,"แขวงสัมพันธวงศ์","Khwaeng Samphanthawong","สัมพันธวงศ์","Samphanthawong","1013","เขตสัมพันธวงศ์","Khet Samphanthawong","สัมพันธวงศ์","Samphanthawong",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
101303,"แขวงตลาดน้อย","Khwaeng Talat Noi","ตลาดน้อย","Talat Noi","1013","เขตสัมพันธวงศ์","Khet Samphanthawong","สัมพันธวงศ์","Samphanthawong",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10100","10100"
101401,"แขวงสามเสนใน","Khwaeng Sam Sen Nai","สามเสนใน","Sam Sen Nai","1014","เขตพญาไท","Khet Phaya Thai","พญาไท","Phaya Thai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
101406,"แขวงพญาไท","Khwaeng Phaya Thai","พญาไท","Phaya Thai","1014","เขตพญาไท","Khet Phaya Thai","พญาไท","Phaya Thai",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10400","10400"
101501,"แขวงวัดกัลยาณ์","Khwaeng Wat Kanlaya","วัดกัลยาณ์","Wat Kanlaya","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101502,"แขวงหิรัญรูจี","Khwaeng Hiran Ruchi","หิรัญรูจี","Hiran Ruchi","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101503,"แขวงบางยี่เรือ","Khwaeng Bang Yi Ruea","บางยี่เรือ","Bang Yi Ruea","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101504,"แขวงบุคคโล","Khwaeng Bukkhalo","บุคคโล","Bukkhalo","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101505,"แขวงตลาดพลู","Khwaeng Talat Phlu","ตลาดพลู","Talat Phlu","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101506,"แขวงดาวคะนอง","Khwaeng Dao Khanong","ดาวคะนอง","Dao Khanong","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
101507,"แขวงสำเหร่","Khwaeng Samre","สำเหร่","Samre","1015","เขตธนบุรี","Khet Thon Buri","ธนบุรี","Thon Buri",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10600","10600"
